Techstack,Links
"React, Node.js, MongoDB",https://dummy-portfolio-yxzw.onrender.com/react
"Angular,.NET, SQL Server",https://dummy-portfolio-yxzw.onrender.com/angular
"Vue.js, Ruby on Rails, PostgreSQL",https://dummy-portfolio-yxzw.onrender.com/vue
"Python, Django, MySQL",https://dummy-portfolio-yxzw.onrender.com/python
"Java, Spring Boot, Oracle",https://dummy-portfolio-yxzw.onrender.com/java
"Flutter, Firebase, GraphQL",https://dummy-portfolio-yxzw.onrender.com/flutter
"WordPress, PHP, MySQL",https://dummy-portfolio-yxzw.onrender.com/wordpress
"React Native, Node.js, MongoDB",https://dummy-portfolio-yxzw.onrender.com/react_native
"iOS, Swift, Core Data",https://dummy-portfolio-yxzw.onrender.com/ios
"Android, Java, Room Persistence",https://dummy-portfolio-yxzw.onrender.com/android
"Kotlin, Android, Firebase",https://dummy-portfolio-yxzw.onrender.com/kotlin
"Android TV, Kotlin, Android NDK",https://dummy-portfolio-yxzw.onrender.com/android_tv
"iOS, Swift, ARKit",https://dummy-portfolio-yxzw.onrender.com/swift
"Backend, Kotlin, Spring Boot",https://dummy-portfolio-yxzw.onrender.com/spring_boot
"Frontend, TypeScript, Angular",https://dummy-portfolio-yxzw.onrender.com/typescript
"Full-stack, JavaScript, Express.js",https://dummy-portfolio-yxzw.onrender.com/javascript
"Machine Learning, Python, TensorFlow",https://dummy-portfolio-yxzw.onrender.com/ml
"DevOps, Jenkins, Docker",https://dummy-portfolio-yxzw.onrender.com/devops
